date,holiday,week_num
2017-03-06,0,2
2017-03-07,0,2
2017-03-08,0,2
2017-03-09,0,2
2017-03-10,0,2
2017-03-11,1,2
2017-03-12,1,2
2017-03-13,0,3
2017-03-14,0,3
2017-03-15,0,3
2017-03-16,0,3
2017-03-17,0,3
2017-03-18,1,3
2017-03-19,1,3
2017-03-20,0,4
2017-03-21,0,4
2017-03-22,0,4
2017-03-23,0,4
2017-03-24,0,4
2017-03-25,1,4
2017-03-26,1,4
2017-03-27,0,5
2017-03-28,0,5
2017-03-29,0,5
2017-03-30,0,5
2017-03-31,0,5
2017-04-01,0,5
2017-04-02,2,5
2017-04-03,2,6
2017-04-04,2,6
2017-04-05,0,6
2017-04-06,0,6
2017-04-07,0,6
2017-04-08,1,6
2017-04-09,1,6
2017-04-10,0,7
2017-04-11,0,7
2017-04-12,0,7
2017-04-13,0,7
2017-04-14,0,7
2017-04-15,1,7
2017-04-16,1,7
2017-04-17,0,8
2017-04-18,0,8
2017-04-19,0,8
2017-04-20,0,8
2017-04-21,0,8
2017-04-22,1,8
2017-04-23,1,8
2017-04-24,0,9
2017-04-25,0,9
2017-04-26,0,9
2017-04-27,0,9
2017-04-28,0,9
2017-04-29,2,9
2017-04-30,2,9
2017-05-01,2,10
2017-05-02,0,10
2017-05-03,0,10
2017-05-04,0,10
2017-05-05,0,10
2017-05-06,1,10
2017-05-07,1,10
2017-05-08,0,11
2017-05-09,0,11
2017-05-10,0,11
2017-05-11,0,11
2017-05-12,0,11
2017-05-13,1,11
2017-05-14,1,11
2017-05-15,0,12
2017-05-16,0,12
2017-05-17,0,12
2017-05-18,0,12
2017-05-19,0,12
2017-05-20,1,12
2017-05-21,1,12
2017-05-22,0,13
2017-05-23,0,13
2017-05-24,0,13
2017-05-25,0,13
2017-05-26,0,13
2017-05-27,0,13
2017-05-28,2,13
2017-05-29,2,14
2017-05-30,2,14
2017-05-31,0,14
2017-06-01,0,14
2017-06-02,0,14
2017-06-03,1,14
2017-06-04,1,14
2017-06-05,0,15
2017-06-06,0,15
2017-06-07,0,15
2017-06-08,0,15
2017-06-09,0,15
2017-06-10,1,15
2017-06-11,1,15
2017-06-12,0,16
2017-06-13,0,16
2017-06-14,0,16
2017-06-15,0,16
2017-06-16,0,16
2017-06-17,1,16
2017-06-18,1,16
2017-06-19,0,17
2017-06-20,0,17
2017-06-21,0,17
2017-06-22,0,17
2017-06-23,0,17
2017-06-24,1,17
2017-06-25,1,17
2017-06-26,0,18
2017-06-27,0,18
2017-06-28,0,18
2017-06-29,0,18
2017-06-30,0,18
2017-09-11,0,2
2017-09-12,0,2
2017-09-13,0,2
2017-09-14,0,2
2017-09-15,0,2
2017-09-16,1,2
2017-09-17,1,2
2017-09-18,0,3
2017-09-19,0,3
2017-09-20,0,3
2017-09-21,0,3
2017-09-22,0,3
2017-09-23,1,3
2017-09-24,1,3
2017-09-25,0,4
2017-09-26,0,4
2017-09-27,0,4
2017-09-28,0,4
2017-09-29,0,4
2017-09-30,0,4
2017-10-01,2,4
2017-10-02,2,5
2017-10-03,2,5
2017-10-04,2,5
2017-10-05,2,5
2017-10-06,2,5
2017-10-07,2,5
2017-10-08,2,5
2017-10-09,0,6
2017-10-10,0,6
2017-10-11,0,6
2017-10-12,0,6
2017-10-13,0,6
2017-10-14,1,6
2017-10-15,1,6
2017-10-16,0,7
2017-10-17,0,7
2017-10-18,0,7
2017-10-19,0,7
2017-10-20,0,7
2017-10-21,1,7
2017-10-22,1,7
2017-10-23,0,8
2017-10-24,0,8
2017-10-25,0,8
2017-10-26,0,8
2017-10-27,0,8
2017-10-28,1,8
2017-10-29,1,8
2017-10-30,0,9
2017-10-31,0,9
2017-11-01,0,9
2017-11-02,0,9
2017-11-03,0,9
2017-11-04,1,9
2017-11-05,1,9
2017-11-06,0,10
2017-11-07,0,10
2017-11-08,0,10
2017-11-09,0,10
2017-11-10,0,10
2017-11-11,1,10
2017-11-12,1,10
2017-11-13,0,11
2017-11-14,0,11
2017-11-15,0,11
2017-11-16,0,11
2017-11-17,0,11
2017-11-18,1,11
2017-11-19,1,11
2017-11-20,0,12
2017-11-21,0,12
2017-11-22,0,12
2017-11-23,0,12
2017-11-24,0,12
2017-11-25,1,12
2017-11-26,1,12
2017-11-27,0,13
2017-11-28,0,13
2017-11-29,0,13
2017-11-30,0,13
2017-12-01,0,13
2017-12-02,1,13
2017-12-03,1,13
2017-12-04,0,14
2017-12-05,0,14
2017-12-06,0,14
2017-12-07,0,14
2017-12-08,0,14
2017-12-09,1,14
2017-12-10,1,14
2017-12-11,0,15
2017-12-12,0,15
2017-12-13,0,15
2017-12-14,0,15
2017-12-15,0,15
2017-12-16,1,15
2017-12-17,1,15
2017-12-18,0,16
2017-12-19,0,16
2017-12-20,0,16
2017-12-21,0,16
2017-12-22,0,16
2017-12-23,1,16
2017-12-24,1,16
2017-12-25,0,17
2017-12-26,0,17
2017-12-27,0,17
2017-12-28,0,17
2017-12-29,0,17
2017-12-30,2,17
2017-12-31,2,17
